Kp,Km,f,Volume,Surface Area,Projection_1,Projection_2,Projection_3,AvgR,p,K
6.7724,6.1590,0.7637,1.6755,8.0175,1.2566,3.1416,1.2566,0.7368,0.4000,6.6239
19.7930,7.9348,0.6086,2.9322,10.1457,2.1991,3.1416,2.1991,0.8879,0.7000,13.9877
1.3641,2.3336,0.1601,0.1508,1.8046,0.5655,0.1257,0.5655,0.3302,4.5000,2.1568
16.0965,4.4473,0.2191,0.0838,1.0442,0.3142,0.1257,0.3142,0.2714,2.5000,6.0261
12.7371,1.6944,0.0835,1.8766,7.3814,1.7593,2.0106,1.7593,0.7652,0.8750,2.0035
19.0066,19.8115,0.2637,0.6158,4.0185,0.6597,1.5394,0.6597,0.5278,0.4286,19.5971
4.8794,11.7213,0.7696,1.6755,8.0175,1.2566,3.1416,1.2566,0.7368,0.4000,6.1882
3.6222,12.6499,0.8893,2.1447,8.0425,2.0106,2.0106,2.0106,0.8000,1.0000,4.4046
5.7326,3.9827,0.6998,0.0126,0.3081,0.0942,0.0314,0.0942,0.1442,3.0000,5.1573
16.3922,3.4175,0.3377,0.6032,3.5608,0.7540,1.1310,0.7540,0.5241,0.6667,5.8332
5.0520,8.9854,0.4405,3.3510,10.9291,2.5133,3.1416,2.5133,0.9283,0.8000,7.0983
11.6234,8.0565,0.5707,0.1005,1.2325,0.3770,0.1257,0.3770,0.2884,3.0000,9.9743
15.7229,2.1654,0.1829,0.3393,5.3110,0.2827,2.5447,0.2827,0.4327,0.1111,3.5394
12.0541,3.4206,0.4089,0.2053,3.2683,0.2199,1.5394,0.2199,0.3659,0.1429,6.0914
19.8820,12.2223,0.1171,0.0503,0.6766,0.1885,0.1257,0.1885,0.2289,1.5000,12.9805
7.9356,9.9033,0.7611,0.0251,0.5955,0.1885,0.0314,0.1885,0.1817,6.0000,8.3810
5.7808,5.4064,0.3191,0.4524,3.1249,0.5655,1.1310,0.5655,0.4762,0.5000,5.5240
5.9655,6.0404,0.6915,0.9048,4.5239,1.1310,1.1310,1.1310,0.6000,1.0000,5.9886
11.2759,0.1082,0.5484,0.1047,1.7275,0.1571,0.7854,0.1571,0.2924,0.2000,0.7750
2.1799,0.0205,0.7918,2.1447,8.0425,2.0106,2.0106,2.0106,0.8000,1.0000,0.2259
5.1542,10.3794,0.1013,0.7330,4.0062,1.0996,0.7854,1.0996,0.5593,1.4000,9.7557
6.5738,4.8434,0.1955,0.4105,3.5972,0.4398,1.5394,0.4398,0.4610,0.2857,5.1536
6.1953,1.7820,0.9693,0.8042,5.0312,0.7540,2.0106,0.7540,0.5769,0.3750,5.9672
4.9419,12.6486,0.9490,2.7143,9.4338,2.2619,2.5447,2.2619,0.8653,0.8889,5.2581
2.5492,16.2665,0.9654,2.7143,9.4338,2.2619,2.5447,2.2619,0.8653,0.8889,2.8936
0.7014,0.0358,0.6742,0.1508,1.3892,0.3770,0.2827,0.3770,0.3302,1.3333,0.1868
12.3929,15.7576,0.3683,0.6702,4.1770,1.2566,0.5027,1.2566,0.5429,2.5000,14.4592
14.7941,7.9035,0.5326,2.5133,9.3934,1.8850,3.1416,1.8850,0.8434,0.6000,11.1420
2.2906,13.9466,0.4177,1.2315,5.5803,1.3195,1.5394,1.3195,0.6649,0.8571,8.1320
13.2992,1.6507,0.7604,1.5080,6.6292,1.8850,1.1310,1.8850,0.7114,1.6667,7.4311
1.3708,6.1706,0.2494,0.1508,1.3892,0.3770,0.2827,0.3770,0.3302,1.3333,4.6813
16.9096,5.1614,0.2771,0.2011,1.6854,0.3770,0.5027,0.3770,0.3634,0.7500,7.2723
3.2054,3.8723,0.3706,0.5236,3.1416,0.7854,0.7854,0.7854,0.5000,1.0000,3.6159
15.2040,16.5570,0.2711,0.1047,1.7275,0.1571,0.7854,0.1571,0.2924,0.2000,16.1826
5.0563,6.5221,0.9981,0.0419,0.9830,0.3142,0.0314,0.3142,0.2154,10.0000,5.0589
6.7698,0.5779,0.3122,1.2315,5.5803,1.3195,1.5394,1.3195,0.6649,0.8571,1.1395
17.4608,4.4446,0.7502,0.0168,0.3472,0.0628,0.1257,0.0628,0.1587,0.5000,12.4095
15.1696,16.8084,0.1917,0.0168,0.4033,0.1257,0.0314,0.1257,0.1587,4.0000,16.4857
1.2284,16.7257,0.2428,3.3929,10.9406,2.8274,2.5447,2.8274,0.9322,1.1111,11.8123
16.3310,13.5437,0.5095,0.6283,3.5679,0.9425,0.7854,0.9425,0.5313,1.2000,14.9175
11.7229,6.7614,0.9822,0.3393,5.3110,0.2827,2.5447,0.2827,0.4327,0.1111,11.6175
6.1979,0.2486,0.7307,2.0944,8.6803,1.5708,3.1416,1.5708,0.7937,0.5000,1.7518
2.3802,13.7842,0.4127,3.7699,11.7375,2.8274,3.1416,2.8274,0.9655,0.9000,8.1663
14.2370,5.7339,0.5808,0.8042,5.0312,0.7540,2.0106,0.7540,0.5769,0.3750,9.8937
6.0128,12.3256,0.7537,0.3142,2.3484,0.4712,0.7854,0.4712,0.4217,0.6000,7.3546
6.9846,12.7662,0.1181,1.3404,6.1300,1.2566,2.0106,1.2566,0.6840,0.6250,11.9765
4.6661,19.2066,0.4795,1.6755,8.0175,1.2566,3.1416,1.2566,0.7368,0.4000,11.0398
13.9698,18.5580,0.2759,0.0126,0.3081,0.0942,0.0314,0.0942,0.1442,3.0000,17.2102
14.1505,5.1900,0.2070,0.0251,0.5955,0.1885,0.0314,0.1885,0.1817,6.0000,6.5327
11.8302,8.4890,0.8257,0.2011,1.6854,0.3770,0.5027,0.3770,0.3634,0.7500,11.1864
18.8321,19.6586,0.4028,0.5362,3.4335,1.0053,0.5027,1.0053,0.5040,2.0000,19.3229
3.1509,3.8386,0.3091,0.0168,0.3472,0.0628,0.1257,0.0628,0.1587,0.5000,3.6168
14.8555,14.6794,0.5351,2.7143,9.4338,2.2619,2.5447,2.2619,0.8653,0.8889,14.7735
2.0691,0.3718,0.5581,0.0042,0.1257,0.0314,0.0314,0.0314,0.1000,1.0000,0.9381
16.1926,0.7664,0.3206,1.3572,6.0893,1.6965,1.1310,1.6965,0.6868,1.5000,1.6907
12.0523,11.8561,0.1141,0.0251,0.5955,0.1885,0.0314,0.1885,0.1817,6.0000,11.8783
12.8089,2.3537,0.3537,0.0168,0.3472,0.0628,0.1257,0.0628,0.1587,0.5000,4.3265
2.0409,3.3548,0.4220,1.2315,5.5803,1.3195,1.5394,1.3195,0.6649,0.8571,2.7549
16.9853,15.2540,0.5292,4.1888,12.5664,3.1416,3.1416,3.1416,1.0000,1.0000,16.1542
7.3464,16.2019,0.5849,0.6032,3.8038,1.1310,0.5027,1.1310,0.5241,2.2500,10.5845
11.1451,6.0256,0.9061,0.8378,4.4531,1.2566,0.7854,1.2566,0.5848,1.6000,10.5458
15.3973,7.6333,0.5323,0.2262,1.9314,0.5655,0.2827,0.5655,0.3780,2.0000,11.2158
9.0389,12.1907,0.1371,0.0754,0.8902,0.1885,0.2827,0.1885,0.2621,0.6667,11.7236
2.9562,14.1898,0.9363,0.7540,4.0306,0.9425,1.1310,0.9425,0.5646,0.8333,3.4913
5.4549,9.2883,0.2613,0.8042,5.0312,0.7540,2.0106,0.7540,0.5769,0.3750,8.1661
3.0674,7.2783,0.3632,0.1340,1.6131,0.5027,0.1257,0.5027,0.3175,4.0000,5.5185
16.1301,19.9109,0.6031,0.0503,0.6766,0.1885,0.1257,0.1885,0.2289,1.5000,17.5718
11.0019,6.6722,0.7220,1.6420,6.7516,1.7593,1.5394,1.7593,0.7319,1.1429,9.6212
6.6658,8.2554,0.4555,0.8042,5.0312,0.7540,2.0106,0.7540,0.5769,0.3750,7.5045
1.4088,10.3238,0.7958,0.3016,2.7399,0.3770,1.1310,0.3770,0.4160,0.3333,2.6890
0.9626,6.1320,0.9270,0.0377,0.8859,0.2827,0.0314,0.2827,0.2080,9.0000,1.2251
8.9374,12.7442,0.3997,0.1676,1.9968,0.6283,0.1257,0.6283,0.3420,5.0000,11.1220
1.5548,14.1152,0.2853,2.3750,8.7097,1.9792,2.5447,1.9792,0.8277,0.7778,9.5556
15.4382,16.8721,0.3468,1.4368,6.1575,1.5394,1.5394,1.5394,0.7000,1.0000,16.3655
4.9214,18.9830,0.1324,0.2681,2.0106,0.5027,0.5027,0.5027,0.4000,1.0000,16.6141
3.6239,6.9034,0.9455,0.6702,4.1770,1.2566,0.5027,1.2566,0.5429,2.5000,3.7749
