Kp,Km,f,p,K
12.9823,4.4905,0.8929,0.1000,11.7642
14.6344,5.4005,0.5987,1.0000,9.8998
12.9549,8.3688,0.4966,1.1111,10.4548
9.0185,19.9547,0.8257,1.1429,10.6273
10.9402,18.2206,0.8158,1.2000,12.1317
5.9264,11.0085,0.1412,4.0000,10.1752
14.8939,11.9267,0.6047,6.0000,13.6655
3.7791,1.5829,0.7906,2.5000,3.1745
13.7355,11.5327,0.7486,9.0000,13.1564
3.6702,17.9634,0.0098,1.8000,17.7710
7.3697,9.2662,0.1934,1.0000,8.8781
12.5124,7.9679,0.3848,0.7778,9.5340
15.6045,2.0892,0.4388,0.1000,5.9441
1.6225,13.0447,0.8923,4.5000,2.4825
18.5877,19.8340,0.9303,0.8750,18.6729
15.5143,13.5615,0.6024,3.0000,14.7160
9.7358,8.5696,0.7290,1.1667,9.4094
8.7172,13.0960,0.8944,0.5000,9.1320
8.9357,11.7749,0.3618,1.2857,10.6919
6.1270,14.9011,0.2037,0.5000,12.7652
10.1702,12.8174,0.5303,9.0000,11.3652
10.2154,10.0735,0.9272,0.3333,10.2051
16.3526,18.7608,0.2099,4.0000,18.2373
15.8966,12.1069,0.9820,1.0000,15.8215
12.8864,12.7785,0.4164,2.0000,12.8233
7.5722,14.0531,0.2687,10.0000,12.0729
16.2316,17.2190,0.7307,0.7778,16.4937
10.6565,7.5932,0.5341,0.1000,9.1453
7.0145,14.2425,0.3751,0.6000,11.2037
18.7800,10.4704,0.3824,0.2500,13.2469
17.5189,7.2698,0.2172,0.2500,8.9737
11.0031,8.6935,0.8451,2.0000,10.6193
12.4495,13.7520,0.0717,1.1111,13.6557
11.7409,4.5370,0.3625,0.9000,6.4903
4.1548,19.5801,0.1096,1.6667,17.3583
6.0249,19.5134,0.9136,0.1429,6.8397
9.4185,5.7903,0.0405,1.0000,5.9127
4.6098,6.7687,0.2279,0.8000,6.2325
16.8862,19.9289,0.3512,0.7778,18.8236
3.8953,15.7794,0.8910,1.0000,4.8929
4.5184,15.8984,0.4840,0.6667,9.6009
3.4142,12.6474,0.2094,0.8750,10.2521
4.5533,16.2290,0.3182,0.8000,11.7835
8.7140,8.9619,0.8993,1.8000,8.7387
6.2220,16.6123,0.0070,0.8000,16.5206
18.4676,2.5333,0.1739,4.0000,3.7612
8.6041,10.2654,0.7677,6.0000,8.9735
3.6963,14.3186,0.1756,1.2000,11.9742
18.0976,4.9629,0.5073,0.1000,10.3000
19.5950,10.6380,0.2938,0.5000,12.8470
8.7774,7.6442,0.8733,1.7500,8.6276
2.2224,16.0352,0.8235,1.5000,4.0423
5.1613,13.4172,0.9988,0.2000,5.1685
8.1744,19.6572,0.3745,0.7778,14.7564
11.8979,18.7364,0.5081,0.8571,15.0404
5.2442,11.5254,0.7485,0.3333,6.5749
12.0569,1.6037,0.3999,0.7000,3.4467
14.2243,8.2765,0.9317,1.3333,13.7290
4.4349,3.6169,0.4277,1.1111,3.9523
2.3484,19.9126,0.0422,1.6000,18.8710
5.9335,10.4077,0.1576,6.0000,9.5995
6.3756,17.7057,0.3614,0.5000,12.9283
8.4833,12.9650,0.0589,1.0000,12.6692
10.1572,9.3251,0.8434,0.2000,10.0236
1.7103,1.9056,0.8900,1.1429,1.7311
5.2496,19.3564,0.0589,0.3000,18.2171
